fecha,casos,acumulado
1,0,0
2,1,1
3,0,1
4,1,2
5,0,2
6,0,2
7,0,2
8,0,2
9,0,2
10,0,2
11,0,2
12,0,2
13,0,2
14,0,2
15,0,2
16,0,2
17,0,2
18,0,2
19,0,2
20,0,2
21,0,2
22,0,2
23,1,3
24,0,3
25,0,3
26,0,3
27,0,3
28,0,3
29,0,3
30,0,3
31,0,3
32,0,3
33,0,3
34,0,3
35,0,3
36,0,3
37,0,3
38,0,3
39,1,4
40,0,4
41,0,4
42,0,4
43,0,4
44,0,4
45,1,5
46,1,6
47,0,6
48,0,6
49,0,6
50,0,6
51,0,6
52,0,6
53,0,6
54,3,9
55,2,11
56,1,12
57,0,12
58,0,12
59,0,12
60,2,14
61,1,15
62,0,15
63,0,15
64,4,19
65,1,20
66,9,29
67,27,56
68,27,83
69,60,143
70,49,192
71,35,227
72,65,292
73,87,379
74,98,477
75,103,580
76,97,677
77,66,743
78,46,789
79,128,917
80,157,1074
81,132,1206
82,160,1366
83,201,1567
84,141,1708
85,145,1853
86,286,2139
87,256,2395
88,293,2688
89,267,2955
90,307,3262
91,194,3456
92,203,3659
93,482,4141
94,404,4545
95,486,5031
96,357,5388
97,414,5802
98,353,6155
99,361,6516
100,675,7191
101,677,7868
102,648,8516
103,577,9093
104,526,9619
105,301,9920
106,241,10161
107,314,10475
